Date,AC AMERICAS Standard (Large+Mid Cap) 
12/31/1998,100
01/29/1999,107.46
02/26/1999,108.057
03/31/1999,114.729
04/30/1999,121.788
05/31/1999,120.491
06/30/1999,128.201
07/30/1999,119.424
08/31/1999,119.996
09/30/1999,115.739
10/29/1999,124.697
11/30/1999,133.248
12/31/1999,143.749
01/31/2000,139.618
02/29/2000,139.285
03/31/2000,153.513
04/28/2000,155.46
05/31/2000,148.522
06/30/2000,147.908
07/31/2000,150.475
08/31/2000,165.007
09/29/2000,156.646
10/31/2000,161.031
11/30/2000,144.143
12/29/2000,133.602
01/31/2001,140.107
02/28/2001,128.422
03/30/2001,124.792
04/30/2001,133.912
05/31/2001,140.845
06/29/2001,137.653
07/31/2001,131.661
08/31/2001,118.367
09/28/2001,108.59
10/31/2001,111.293
11/30/2001,120.416
12/31/2001,121.956
01/31/2002,124.285
02/28/2002,121.256
03/29/2002,124.602
04/30/2002,113.077
05/31/2002,108.047
06/28/2002,94.291
07/31/2002,87.812
08/30/2002,88.175
09/30/2002,77.541
10/31/2002,84.149
11/29/2002,88.631
12/31/2002,79.044
01/31/2003,75.446
02/28/2003,74.004
03/31/2003,73.647
04/30/2003,77.951
05/30/2003,77.867
06/30/2003,80.682
07/31/2003,83.713
08/29/2003,87.437
09/30/2003,81.519
10/31/2003,86.255
11/28/2003,84.423
12/31/2003,84.335
01/30/2004,87.041
02/27/2004,88.026
03/31/2004,87.553
04/30/2004,87.864
05/31/2004,87.282
06/30/2004,89.238
07/30/2004,87.233
08/31/2004,86.742
09/30/2004,86.033
10/29/2004,85.394
11/30/2004,85.002
12/31/2004,85.884
01/31/2005,87.195
02/28/2005,87.606
03/31/2005,87.937
04/29/2005,86.62
05/31/2005,93.366
06/30/2005,95.686
07/29/2005,98.986
08/31/2005,97.167
09/30/2005,100.475
10/31/2005,98.931
11/30/2005,104.496
12/30/2005,104.648
01/31/2006,105.076
02/28/2006,106.798
03/31/2006,106.322
04/28/2006,103.779
05/31/2006,98.233
06/30/2006,98.653
07/31/2006,99.144
08/31/2006,101.064
09/29/2006,104.156
10/31/2006,107.02
11/30/2006,105.01
12/29/2006,106.739
01/31/2007,110.013
02/28/2007,106.157
03/30/2007,106.672
04/30/2007,108.556
05/31/2007,114.345
06/29/2007,112.19
07/31/2007,107.575
08/31/2007,109.119
09/28/2007,109.214
10/31/2007,110.123
11/30/2007,103.07
12/31/2007,103.061
01/31/2008,95.44
02/29/2008,91.192
03/31/2008,86.383
04/30/2008,92.525
05/30/2008,94.826
06/30/2008,86.148
07/31/2008,85.036
08/29/2008,90.417
09/30/2008,85.015
10/31/2008,76.557
11/28/2008,70.76
12/31/2008,65.092
01/30/2009,65.203
02/27/2009,59.064
03/31/2009,61.305
04/30/2009,67.61
05/29/2009,67.845
06/30/2009,68.071
07/31/2009,72.618
08/31/2009,73.715
09/30/2009,75.58
10/30/2009,73.274
11/30/2009,76.316
12/31/2009,81.428
01/29/2010,80.457
02/26/2010,84.532
03/31/2010,90.44
04/30/2010,93.267
05/31/2010,92.78
06/30/2010,87.976
07/30/2010,88.645
08/31/2010,86.96
09/30/2010,88.157
10/29/2010,89.786
11/30/2010,95.616
12/31/2010,98.872
01/31/2011,98.356
02/28/2011,100.971
03/31/2011,98.423
04/29/2011,96.574
05/31/2011,98.077
06/30/2011,95.415
07/29/2011,94.181
08/31/2011,88.743
09/30/2011,87.024
10/31/2011,93.025
11/30/2011,95.344
12/30/2011,99.204
01/31/2012,103.41
02/29/2012,105.386
03/30/2012,108.101
04/30/2012,107.846
05/31/2012,107.191
06/29/2012,108.292
07/31/2012,113.031
08/31/2012,112.746
09/28/2012,113.272
10/31/2012,110.478
11/30/2012,110.253
12/31/2012,109.891
01/31/2013,111.854
02/28/2013,116.871
03/29/2013,122.738
04/30/2013,121.29
05/31/2013,124.907
06/28/2013,121.861
07/31/2013,125.125
08/30/2013,122.387
09/30/2013,123.264
10/31/2013,127.93
11/29/2013,130.362
12/31/2013,131.677
01/31/2014,129.461
02/28/2014,131.886
03/31/2014,133.301
04/30/2014,133.414
05/30/2014,138.214
06/30/2014,140.924
07/31/2014,142.26
08/29/2014,150.029
09/30/2014,152.471
10/31/2014,156.552
11/28/2014,160.501
12/31/2014,163.914
01/30/2015,169.843
02/27/2015,180.361
03/31/2015,184.818
04/30/2015,179.61
05/29/2015,184.508
06/30/2015,177.838
07/31/2015,181.621
08/31/2015,167.614
09/30/2015,163.118
10/30/2015,177.762
11/30/2015,185.726
12/31/2015,176.617
01/29/2016,167.944
02/29/2016,166.92
03/31/2016,170.465
04/29/2016,171.009
05/31/2016,177.645
06/30/2016,178.612
07/29/2016,183.99
08/31/2016,184.599
09/30/2016,182.92
10/31/2016,184.402
11/30/2016,196.041
12/30/2016,200.455
01/31/2017,199.917
02/28/2017,210.19
03/31/2017,208.831
04/28/2017,206.65
05/31/2017,201.983
06/30/2017,200.345
07/31/2017,198.018
08/31/2017,196.739
09/29/2017,201.779
